25/1/2017	1.4194
24/1/2017	1.4204
23/1/2017	1.4209
20/1/2017	1.43
19/1/2017	1.4277
18/1/2017	1.4216
17/1/2017	1.4183
16/1/2017	1.4306
13/1/2017	1.4276
12/1/2017	1.4258
11/1/2017	1.4381
10/1/2017	1.4357
9/1/2017	1.441
6/1/2017	1.4328
5/1/2017	1.4349
4/1/2017	1.4444
3/1/2017	1.4505
2/1/2017	1.4497
30/12/2016	1.444
29/12/2016	1.4487
28/12/2016	1.4517
27/12/2016	1.4485
26/12/2016	1.4472
23/12/2016	1.4463
22/12/2016	1.4477
21/12/2016	1.4438
20/12/2016	1.4461
19/12/2016	1.4483
16/12/2016	1.4415
15/12/2016	1.4388
14/12/2016	1.4237
13/12/2016	1.4269
12/12/2016	1.429
9/12/2016	1.4236
8/12/2016	1.416
7/12/2016	1.419
6/12/2016	1.4197
5/12/2016	1.4254
2/12/2016	1.4231
1/12/2016	1.429
30/11/2016	1.4256
29/11/2016	1.427
28/11/2016	1.4263
25/11/2016	1.4284
24/11/2016	1.4309
23/11/2016	1.4259
22/11/2016	1.4241
21/11/2016	1.4246
18/11/2016	1.4241
17/11/2016	1.4152
16/11/2016	1.4177
15/11/2016	1.4115
14/11/2016	1.4157
11/11/2016	1.409
10/11/2016	1.4054
9/11/2016	1.3905
8/11/2016	1.3901
7/11/2016	1.3897
4/11/2016	1.3849
3/11/2016	1.3853
2/11/2016	1.3864
1/11/2016	1.3891
31/10/2016	1.3925
28/10/2016	1.3943
27/10/2016	1.3928
26/10/2016	1.3897
25/10/2016	1.3917
24/10/2016	1.3917
21/10/2016	1.3939
20/10/2016	1.3886
19/10/2016	1.3865
18/10/2016	1.3856
17/10/2016	1.3899
14/10/2016	1.3877
13/10/2016	1.3839
12/10/2016	1.3823
11/10/2016	1.3796
10/10/2016	1.374
7/10/2016	1.3748
6/10/2016	1.3721
5/10/2016	1.3707
4/10/2016	1.3691
3/10/2016	1.3637
30/9/2016	1.3646
29/9/2016	1.3632
28/9/2016	1.3607
27/9/2016	1.3585
26/9/2016	1.3605
23/9/2016	1.3571
22/9/2016	1.3546
21/9/2016	1.3603
20/9/2016	1.3627
19/9/2016	1.3635
16/9/2016	1.3643
15/9/2016	1.3664
14/9/2016	1.3654
13/9/2016	1.3606
12/9/2016	1.3624
9/9/2016	1.3562
8/9/2016	1.3459
7/9/2016	1.3458
6/9/2016	1.3558
5/9/2016	1.3572
2/9/2016	1.3594
1/9/2016	1.3633
31/8/2016	1.3632
30/8/2016	1.3615
29/8/2016	1.3612
